time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
16111,13.3998,0.647392,0.563684,16.8203,49.0374
16143,13.4009,0.658143,0.569444,16.8794,31.9449
16175,13.4021,0.84399,0.569444,16.6993,32.0267
16207,13.3648,0.731484,0.614753,16.6928,32.0044
16239,13.424,0.822487,0.562532,16.7197,31.9683
16271,13.3691,0.729948,0.560612,16.808,32.0497
16303,13.4194,0.649312,0.558308,16.7635,31.9557
16335,13.5438,0.673119,0.562148,16.7059,31.895
16367,13.5434,0.655455,0.574819,16.7051,31.9852
16399,29.58,0.678494,0.56714,16.6786,31.9937
16447,13.4762,0.630113,0.673119,16.7143,48.0195
16479,13.4785,0.68771,0.566372,16.7339,32.0302
16511,13.5207,0.675038,0.625505,16.6333,31.9637
16543,13.5292,0.676958,0.576739,16.7208,32.0014
16575,13.505,0.856661,0.565988,16.553,32.0006
16607,13.5803,0.866261,0.574435,16.4878,31.9783
16639,13.6006,0.844374,0.57098,16.3411,31.9964
16671,14.6128,0.705757,0.602466,16.7469,31.8654
16704,13.3552,0.698845,0.568676,16.7051,33.1832
16736,13.5088,0.700765,0.566756,16.7677,31.8147
