time[ms],x,y,arc,pos
7881,-750,12950,95,11
7889,-750,12964,95,11
7897,-754,12982,95,11
7905,-756,13006,95,11
7913,-760,13028,94,11
7921,-763,13044,95,11
7929,-764,13061,95,11
7937,-766,13074,94,11
7945,-769,13086,95,11
7953,-770,13101,95,11
7961,-772,13113,95,11
7969,-773,13127,95,11
7977,-775,13142,95,11
7985,-776,13155,95,11
7993,-779,13167,95,11
8001,-780,13181,96,11
8009,-781,13195,96,11
8017,-784,13208,96,11
8025,-785,13221,96,11
8033,-785,13232,96,11
8041,-786,13244,96,11
8049,-789,13257,95,11
8057,-790,13270,95,11
8065,-793,13282,95,11
8073,-794,13294,95,11
8081,-795,13306,95,11
8089,-798,13317,94,11
8097,-798,13330,94,11
8105,-800,13342,94,11
8113,-800,13353,94,11
8121,-801,13365,94,11
8129,-803,13377,94,11
8137,-805,13391,94,11
8145,-806,13403,95,11
8153,-806,13416,94,11
8161,-808,13428,94,11
8169,-809,13442,95,11
8177,-809,13453,95,11
8185,-811,13464,95,11
8193,-811,13477,95,11
8201,-811,13491,95,11
8209,-813,13506,95,11
8217,-813,13520,95,11
8225,-813,13532,95,11
8233,-813,13545,95,11
8241,-814,13556,95,11
8249,-815,13570,95,11
8257,-816,13582,95,11
8265,-816,13595,95,11
8273,-816,13607,95,11
8281,-818,13622,95,11
8289,-819,13635,95,11
8297,-820,13648,95,11
8305,-821,13662,94,11
8313,-821,13676,94,11
8321,-824,13690,94,11
8329,-826,13702,94,11
8337,-828,13716,94,11
8344,-828,13729,94,11
8352,-828,13729,94,11
8353,-830,13743,94,11
8361,-831,13755,94,11
8369,-831,13768,94,11
8377,-834,13782,94,11
8385,-834,13795,94,11
8393,-834,13807,94,11
8401,-836,13819,94,11
8409,-838,13832,94,11
8417,-840,13847,95,11
8425,-844,13865,95,11
8433,-846,13886,96,11
8441,-846,13903,95,11
8449,-849,13913,95,11
8457,-851,13926,96,11
8465,-853,13936,96,11
8473,-855,13947,97,12
8481,-856,13960,97,12
8488,-856,13968,97,12
8496,-856,13968,97,12
8497,-858,13978,97,12
